date_no_time,temp_max,temp_min,temp_avg,precip_total_diaria
2026-03-16,22.7,10.2,16.12,0.0
2026-03-17,25.0,8.8,16.38,0.0
2026-03-18,19.3,11.7,14.62,1.4000000000000001
2026-03-19,23.1,10.6,16.51,0.0
2026-03-20,20.8,12.8,15.6,0.1
2026-03-21,20.6,12.3,15.8,0.2
2026-03-22,21.8,9.8,15.18,0.0
