date_no_time,temp_max,temp_min,temp_avg,precip_total_diaria
2026-03-22,18.5,13.3,15.82,1.3
2026-03-23,21.5,11.1,16.0,0.0
2026-03-24,21.2,11.6,16.23,0.0
2026-03-25,22.6,10.9,16.6,0.0
2026-03-26,24.5,12.0,18.03,0.0
2026-03-27,19.4,11.6,15.4,0.0
2026-03-28,19.2,12.1,15.57,0.0
